2023-05-15 15:05:323 INFO  HomePage :71 - Get Mouse Hover to Electronic And Click On Cell Phone<br>
2023-05-15 15:05:162 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (51db0fa5a4449edda76019ddd6842a60)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (51db0fa5a4449edda76019ddd6842a60)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (51db0fa5a4449edda76019ddd6842a60)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (51db0fa5a4449edda76019ddd6842a60)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (51db0fa5a4449edda76019ddd6842a60)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (51db0fa5a4449edda76019ddd6842a60)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (51db0fa5a4449edda76019ddd6842a60)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 15:05:197 INFO  ComputerPage :27 - Get text Computer[[ChromeDriver: chrome on WINDOWS (51db0fa5a4449edda76019ddd6842a60)] -> xpath: //h1[contains(text(),'Computers')]]<br>
2023-05-15 15:05:164 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (a3ee8becc1862161144bdf1283dc9b61)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a3ee8becc1862161144bdf1283dc9b61)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a3ee8becc1862161144bdf1283dc9b61)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a3ee8becc1862161144bdf1283dc9b61)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a3ee8becc1862161144bdf1283dc9b61)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a3ee8becc1862161144bdf1283dc9b61)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (a3ee8becc1862161144bdf1283dc9b61)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 15:05:867 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 15:05:203 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (8ef73694eca88a919f2bdf27ad181971)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (8ef73694eca88a919f2bdf27ad181971)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (8ef73694eca88a919f2bdf27ad181971)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (8ef73694eca88a919f2bdf27ad181971)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (8ef73694eca88a919f2bdf27ad181971)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (8ef73694eca88a919f2bdf27ad181971)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (8ef73694eca88a919f2bdf27ad181971)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 15:05:973 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 15:05:342 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (260648c7d28fec3767a15ebfdaf3b5aa)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (260648c7d28fec3767a15ebfdaf3b5aa)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (260648c7d28fec3767a15ebfdaf3b5aa)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (260648c7d28fec3767a15ebfdaf3b5aa)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (260648c7d28fec3767a15ebfdaf3b5aa)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (260648c7d28fec3767a15ebfdaf3b5aa)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (260648c7d28fec3767a15ebfdaf3b5aa)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 15:05:969 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
2023-05-15 15:05:974 INFO  HomePage :51 - Click on Top Menu[[[ChromeDriver: chrome on WINDOWS (86ae749840a1b2a8c6f3d0591dd2655f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (86ae749840a1b2a8c6f3d0591dd2655f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (86ae749840a1b2a8c6f3d0591dd2655f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (86ae749840a1b2a8c6f3d0591dd2655f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (86ae749840a1b2a8c6f3d0591dd2655f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (86ae749840a1b2a8c6f3d0591dd2655f)] -> xpath: //ul[@class='top-menu notmobile']/li], [[ChromeDriver: chrome on WINDOWS (86ae749840a1b2a8c6f3d0591dd2655f)] -> xpath: //ul[@class='top-menu notmobile']/li]]<br>
2023-05-15 15:05:418 INFO  ComputerPage :27 - Get text ComputerProxy element for: DefaultElementLocator 'By.xpath: //h1[contains(text(),'Computers')]'<br>
